Station Code,Location,State,Temp,D.O. (mg/l),B.O.D. (mg/l),PH,Conductivity (µmhos/cm),TDS,Nitrate + Nitrite (mg/l),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Year
3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,25,8.8,1.5,7.3,37,22.2,1.62,15,35,2012
3382,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,25,7.3,2,7.3,72,50.4,1.65,17,36,2012
3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,20,7.5,1.7,7,38,22.8,2.2,18,40,2012
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,22,7.8,1.6,7.1,44,26.4,2.62,15,33,2012
1631,MYNTDU RIVER JOWAI,MEGHALAYA,20,7,2.4,7,100,60,3.03,1967,2600,2012
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,21,7.5,1.7,6.3,52,36.4,0.82,7,21,2012
3367,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,16,6.4,2.6,6.9,61,36.6,3.88,227,538,2012
3368,"NONBAH RIVER AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,17,7.5,1.4,7.1,39,31.2,2.88,12,22,2012
3372,"RILANG AT MAWKYRWAT, WEST KHASI HILLS",MEGHALAYA,17,8,1.4,7.1,41,32.8,3.35,10,25,2012
1633,SIMSANG RIVER WILLIAMNAGAR,MEGHALAYA,24,7.9,1.7,7.3,93,65.1,5.02,295,418,2012
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,18,7.5,1.9,6.9,69,41.4,4.92,20,49,2012
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,18,7.9,1.7,7.2,46,32.2,2.72,20,45,2012
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,18,8,1.4,7.2,42,29.4,2.47,5,31,2012
3356,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA,25,7.7,1.5,7.1,101,80.8,3.42,16,43,2012
3350,UMKHEN AT WAHKDAIT,MEGHALAYA,19,7.2,1.6,7.1,49,39.2,2.86,17,40,2012
